,GDP,Real GDP
2004-01-04 00:00:00+00:00,11923.447,15248.68
2004-04-04 00:00:00+00:00,12112.815,15366.85
2004-07-04 00:00:00+00:00,12305.307,15512.619
2004-10-03 00:00:00+00:00,12527.214,15670.88
2005-04-03 00:00:00+00:00,12922.656,15922.782
2005-07-03 00:00:00+00:00,13142.642,16047.587
2007-01-07 00:00:00+00:00,14215.651,16611.69
2007-10-07 00:00:00+00:00,14715.058,16915.191
2008-01-06 00:00:00+00:00,14706.538,16843.003
2008-04-06 00:00:00+00:00,14865.701,16943.291
2008-07-06 00:00:00+00:00,14898.999,16854.295
2008-10-05 00:00:00+00:00,14608.209,16485.35
2009-01-04 00:00:00+00:00,14430.902,16298.262
2009-04-05 00:00:00+00:00,14381.236,16269.145
2009-07-05 00:00:00+00:00,14448.882,16326.281
2009-10-04 00:00:00+00:00,14651.249,16502.754
2010-01-03 00:00:00+00:00,14764.61,16582.71
2010-04-04 00:00:00+00:00,14980.193,16743.162
2010-07-04 00:00:00+00:00,15141.607,16872.266
2010-10-03 00:00:00+00:00,15309.474,16960.864
2011-04-03 00:00:00+00:00,15557.539,17035.114
2011-07-03 00:00:00+00:00,15647.68,17031.313
2012-10-07 00:00:00+00:00,16420.419,17489.852
2013-01-06 00:00:00+00:00,16648.189,17662.4
2013-04-07 00:00:00+00:00,16728.687,17709.671
2013-07-07 00:00:00+00:00,16953.838,17860.45
2013-10-06 00:00:00+00:00,17192.019,18016.147
2014-01-05 00:00:00+00:00,17197.738,17953.974
2014-04-06 00:00:00+00:00,17518.508,18185.911
2014-07-06 00:00:00+00:00,17804.228,18406.941
2014-10-05 00:00:00+00:00,17912.079,18500.031
2015-01-04 00:00:00+00:00,18063.529,18666.621
2015-04-05 00:00:00+00:00,18279.784,18782.243
2015-07-05 00:00:00+00:00,18401.626,18857.418
2015-10-04 00:00:00+00:00,18435.137,18892.206
2016-01-03 00:00:00+00:00,18525.933,19001.69
2016-04-03 00:00:00+00:00,18711.702,19062.709
2016-07-03 00:00:00+00:00,18892.639,19197.938
2018-01-07 00:00:00+00:00,20328.553,20044.077
2018-10-07 00:00:00+00:00,20917.867,20304.874
2019-01-06 00:00:00+00:00,21104.133,20415.15
2019-04-07 00:00:00+00:00,21384.775,20584.528
2019-07-07 00:00:00+00:00,21694.282,20817.581
2019-10-06 00:00:00+00:00,21902.39,20951.088
2020-01-05 00:00:00+00:00,21706.513,20665.553
2020-04-05 00:00:00+00:00,19913.143,19034.83
2020-07-05 00:00:00+00:00,21647.64,20511.785
2020-10-04 00:00:00+00:00,22024.502,20724.128
2021-01-03 00:00:00+00:00,22600.185,20990.541
2021-04-04 00:00:00+00:00,23292.362,21309.544
2021-07-04 00:00:00+00:00,23828.973,21483.083
2021-10-03 00:00:00+00:00,24654.603,21847.602
2022-04-03 00:00:00+00:00,25544.273,21708.16
2022-07-03 00:00:00+00:00,25994.639,21851.134
