,Building Permits,Residential Property Prices,Housing Starts
2004-01-04 00:00:00+00:00,1952.0,125.9256,1911.0
2004-04-04 00:00:00+00:00,2070.0,129.0662,2003.0
2004-07-04 00:00:00+00:00,2112.0,132.9919,2002.0
2004-10-03 00:00:00+00:00,2097.0,137.1913,2072.0
2005-04-03 00:00:00+00:00,2150.0,145.6174,2061.0
2005-07-03 00:00:00+00:00,2203.0,148.8674,2054.0
2007-01-07 00:00:00+00:00,1626.0,146.9114,1409.0
2007-10-07 00:00:00+00:00,1192.0,130.27,1264.0
2008-01-06 00:00:00+00:00,1094.0,123.7454,1084.0
2008-04-06 00:00:00+00:00,1008.0,115.5766,1013.0
2008-07-06 00:00:00+00:00,921.0,109.166,923.0
2008-10-05 00:00:00+00:00,736.0,106.558,777.0
2009-01-04 00:00:00+00:00,545.0,103.9789,490.0
2009-04-05 00:00:00+00:00,521.0,102.8887,478.0
2009-07-05 00:00:00+00:00,595.0,102.4965,594.0
2009-10-04 00:00:00+00:00,583.0,102.8783,534.0
2010-01-03 00:00:00+00:00,636.0,101.5417,614.0
2010-04-04 00:00:00+00:00,637.0,101.3717,687.0
2010-07-04 00:00:00+00:00,579.0,99.1148,546.0
2010-10-03 00:00:00+00:00,558.0,97.9877,543.0
2011-04-03 00:00:00+00:00,581.0,93.9942,554.0
2011-07-03 00:00:00+00:00,621.0,93.986,623.0
2012-10-07 00:00:00+00:00,887.0,99.5462,915.0
2013-01-06 00:00:00+00:00,940.0,101.4708,888.0
2013-04-07 00:00:00+00:00,1012.0,103.5275,835.0
2013-07-07 00:00:00+00:00,997.0,105.7225,880.0
2013-10-06 00:00:00+00:00,1044.0,108.08,925.0
2014-01-05 00:00:00+00:00,976.0,108.6619,888.0
2014-04-06 00:00:00+00:00,1090.0,108.0911,1043.0
2014-07-06 00:00:00+00:00,1076.0,109.4017,1085.0
2014-10-05 00:00:00+00:00,1094.0,111.9826,1074.0
2015-01-04 00:00:00+00:00,1049.0,114.0104,1085.0
2015-04-05 00:00:00+00:00,1166.0,113.9663,1190.0
2015-07-05 00:00:00+00:00,1140.0,115.2859,1146.0
2015-10-04 00:00:00+00:00,1160.0,117.5019,1058.0
2016-01-03 00:00:00+00:00,1171.0,118.8551,1092.0
2016-04-03 00:00:00+00:00,1160.0,118.8013,1163.0
2016-07-03 00:00:00+00:00,1198.0,120.063,1239.0
2018-01-07 00:00:00+00:00,1311.0,127.1635,1299.0
2018-10-07 00:00:00+00:00,1280.0,129.3282,1221.0
2019-01-06 00:00:00+00:00,1254.0,129.8613,1232.0
2019-04-07 00:00:00+00:00,1298.0,129.5894,1267.0
2019-07-07 00:00:00+00:00,1347.0,130.7582,1245.0
2019-10-06 00:00:00+00:00,1538.0,132.4256,1332.0
2020-01-05 00:00:00+00:00,1500.0,133.7104,1572.0
2020-04-05 00:00:00+00:00,1050.0,135.4988,925.0
2020-07-05 00:00:00+00:00,1526.0,138.3902,1529.0
2020-10-04 00:00:00+00:00,1622.0,143.237,1537.0
2021-01-03 00:00:00+00:00,1866.0,146.2106,1602.0
2021-04-04 00:00:00+00:00,1714.0,149.8381,1484.0
2021-07-04 00:00:00+00:00,1618.0,153.9822,1593.0
2021-10-03 00:00:00+00:00,1727.0,157.7167,1572.0
2022-04-03 00:00:00+00:00,1795.0,161.7122,1803.0
2022-07-03 00:00:00+00:00,1658.0,158.1889,1371.0
