,CPI,PPI
2009-12-06 00:00:00+00:00,217.347,100.3
2010-01-03 00:00:00+00:00,217.488,101.2
2010-02-07 00:00:00+00:00,217.281,101.0
2010-03-07 00:00:00+00:00,217.353,101.1
2010-04-04 00:00:00+00:00,217.403,101.4
2010-06-06 00:00:00+00:00,217.199,101.4
2010-07-04 00:00:00+00:00,217.605,101.6
2010-09-05 00:00:00+00:00,218.275,102.1
2010-10-03 00:00:00+00:00,219.035,102.5
2010-11-07 00:00:00+00:00,219.59,102.8
2010-12-05 00:00:00+00:00,220.472,103.1
2011-02-06 00:00:00+00:00,221.898,104.3
2011-03-06 00:00:00+00:00,223.046,105.0
2011-04-03 00:00:00+00:00,224.093,105.5
2011-06-05 00:00:00+00:00,224.806,105.9
2011-07-03 00:00:00+00:00,225.395,106.1
2011-08-07 00:00:00+00:00,226.106,106.3
2011-09-04 00:00:00+00:00,226.597,106.7
2011-11-06 00:00:00+00:00,227.169,106.6
2011-12-04 00:00:00+00:00,227.223,106.5
2012-02-05 00:00:00+00:00,228.329,107.2
2012-03-04 00:00:00+00:00,228.807,107.4
2012-05-06 00:00:00+00:00,228.713,107.6
2012-06-03 00:00:00+00:00,228.524,107.3
2012-08-05 00:00:00+00:00,229.918,107.5
2012-10-07 00:00:00+00:00,231.638,108.3
2012-11-04 00:00:00+00:00,231.249,108.4
2013-01-06 00:00:00+00:00,231.679,108.7
2013-02-03 00:00:00+00:00,232.937,108.9
2013-03-03 00:00:00+00:00,232.282,108.9
2013-04-07 00:00:00+00:00,231.797,108.7
2013-05-05 00:00:00+00:00,231.893,108.6
2013-07-07 00:00:00+00:00,232.9,109.2
2013-08-04 00:00:00+00:00,233.456,109.3
2013-10-06 00:00:00+00:00,233.669,109.5
2013-11-03 00:00:00+00:00,234.1,109.7
2014-01-05 00:00:00+00:00,235.288,110.1
2014-04-06 00:00:00+00:00,236.468,110.8
2014-05-04 00:00:00+00:00,236.918,111.0
2014-07-06 00:00:00+00:00,237.498,111.3
2014-08-03 00:00:00+00:00,237.46,111.3
2014-09-07 00:00:00+00:00,237.477,111.1
2014-10-05 00:00:00+00:00,237.43,111.3
2014-12-07 00:00:00+00:00,236.252,110.8
2015-01-04 00:00:00+00:00,234.747,110.1
2015-04-05 00:00:00+00:00,236.222,109.6
2015-05-03 00:00:00+00:00,237.001,110.0
2015-06-07 00:00:00+00:00,237.657,110.3
2015-07-05 00:00:00+00:00,238.034,110.5
2015-09-06 00:00:00+00:00,237.498,109.9
2015-10-04 00:00:00+00:00,237.733,109.6
2015-12-06 00:00:00+00:00,237.761,109.6
2016-01-03 00:00:00+00:00,237.652,110.0
2016-02-07 00:00:00+00:00,237.336,109.7
2016-03-06 00:00:00+00:00,238.08,109.7
2016-04-03 00:00:00+00:00,238.992,109.9
2016-06-05 00:00:00+00:00,240.222,110.6
2016-07-03 00:00:00+00:00,240.101,110.5
2016-08-07 00:00:00+00:00,240.545,110.3
2016-09-04 00:00:00+00:00,241.176,110.6
2016-11-06 00:00:00+00:00,242.026,111.1
2016-12-04 00:00:00+00:00,242.637,111.4
2017-02-05 00:00:00+00:00,244.006,111.9
2017-03-05 00:00:00+00:00,243.892,112.1
2017-05-07 00:00:00+00:00,244.004,112.5
2017-06-04 00:00:00+00:00,244.163,112.6
2017-08-06 00:00:00+00:00,245.183,113.1
2017-09-03 00:00:00+00:00,246.435,113.5
2017-11-05 00:00:00+00:00,247.284,114.3
2017-12-03 00:00:00+00:00,247.805,114.4
2018-01-07 00:00:00+00:00,248.859,114.8
2018-02-04 00:00:00+00:00,249.529,115.1
2018-03-04 00:00:00+00:00,249.577,115.3
2018-05-06 00:00:00+00:00,250.792,115.9
2018-06-03 00:00:00+00:00,251.018,116.3
2018-08-05 00:00:00+00:00,251.663,116.5
2018-10-07 00:00:00+00:00,252.772,117.5
2018-11-04 00:00:00+00:00,252.594,117.4
2019-01-06 00:00:00+00:00,252.718,117.0
2019-02-03 00:00:00+00:00,253.322,117.2
2019-03-03 00:00:00+00:00,254.202,117.6
2019-04-07 00:00:00+00:00,255.211,118.2
2019-05-05 00:00:00+00:00,255.29,118.3
2019-07-07 00:00:00+00:00,255.685,118.4
2019-08-04 00:00:00+00:00,256.059,118.6
2019-10-06 00:00:00+00:00,257.244,118.7
2019-11-03 00:00:00+00:00,257.803,118.6
2020-01-05 00:00:00+00:00,259.037,119.3
2020-04-05 00:00:00+00:00,256.092,116.6
2020-05-03 00:00:00+00:00,255.868,117.2
2020-06-07 00:00:00+00:00,256.986,117.5
2020-07-05 00:00:00+00:00,258.278,118.2
2020-09-06 00:00:00+00:00,260.029,118.7
2020-10-04 00:00:00+00:00,260.286,119.4
2020-12-06 00:00:00+00:00,262.035,120.0
2021-01-03 00:00:00+00:00,262.65,121.3
2021-02-07 00:00:00+00:00,263.638,122.0
2021-03-07 00:00:00+00:00,264.914,122.8
2021-04-04 00:00:00+00:00,266.67,124.1
2021-06-06 00:00:00+00:00,270.559,126.2
2021-07-04 00:00:00+00:00,271.764,127.453
2021-09-05 00:00:00+00:00,274.028,129.21
2021-10-03 00:00:00+00:00,276.522,130.027
2021-11-07 00:00:00+00:00,278.711,131.452
2021-12-05 00:00:00+00:00,280.887,132.244
2022-02-06 00:00:00+00:00,284.61,134.883
2022-03-06 00:00:00+00:00,287.472,137.035
2022-04-03 00:00:00+00:00,288.611,137.853
2022-06-05 00:00:00+00:00,294.728,140.156
2022-07-03 00:00:00+00:00,294.628,139.761
2022-08-07 00:00:00+00:00,295.32,139.789
2022-09-04 00:00:00+00:00,296.539,140.191
2022-11-06 00:00:00+00:00,298.598,141.175
2022-12-04 00:00:00+00:00,298.99,140.721
2023-02-05 00:00:00+00:00,301.648,141.29
2023-03-05 00:00:00+00:00,301.808,140.74
2023-05-07 00:00:00+00:00,303.294,140.306
2023-06-04 00:00:00+00:00,303.841,140.497
