,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate
2003-07-27 00:00:00+00:00,4.22,1.52,1.03,0.92,0.93,3.1,5.15,5.31,5.27,5.94
2003-08-03 00:00:00+00:00,4.44,1.85,1.0,0.91,0.95,3.37,5.42,5.47,5.44,6.14
2003-08-10 00:00:00+00:00,4.27,1.72,0.96,0.91,0.96,3.17,5.29,5.4,5.66,6.34
2003-08-17 00:00:00+00:00,4.55,1.85,1.39,0.92,0.95,3.42,5.49,5.57,5.58,6.24
2003-08-24 00:00:00+00:00,4.48,1.97,0.99,0.96,0.98,3.47,5.37,5.4,5.6,6.28
2003-08-31 00:00:00+00:00,4.45,1.95,1.01,0.98,0.98,3.46,5.33,5.3,5.66,6.32
2003-09-07 00:00:00+00:00,4.35,1.72,0.96,0.95,0.96,3.28,5.29,5.32,5.77,6.44
2003-09-14 00:00:00+00:00,4.27,1.66,1.02,0.91,0.96,3.15,5.22,5.33,5.46,6.16
2003-09-21 00:00:00+00:00,4.17,1.7,0.99,0.88,0.95,3.11,5.12,5.2,5.3,6.01
2003-09-28 00:00:00+00:00,4.04,1.6,1.03,0.87,0.94,2.95,4.98,5.11,5.3,5.98
2003-10-05 00:00:00+00:00,4.21,1.65,0.99,0.87,0.94,3.12,5.15,5.23,5.1,5.77
2003-10-12 00:00:00+00:00,4.29,1.65,1.0,0.89,0.92,3.15,5.23,5.34,5.26,5.95
2003-10-19 00:00:00+00:00,4.41,1.9,0.98,0.9,0.93,3.33,5.32,5.37,5.36,6.05
2003-10-26 00:00:00+00:00,4.24,1.76,1.01,0.92,0.95,3.13,5.14,5.27,5.39,6.05
2003-11-02 00:00:00+00:00,4.33,1.85,1.03,0.96,0.96,3.27,5.2,5.28,5.26,5.94
2003-11-09 00:00:00+00:00,4.48,2.04,0.98,0.95,0.96,3.47,5.33,5.38,5.31,5.98
2003-11-16 00:00:00+00:00,4.22,1.84,0.98,0.92,0.95,3.19,5.1,5.21,5.39,6.03
2003-11-23 00:00:00+00:00,4.15,1.84,0.98,0.93,0.94,3.15,5.05,5.13,5.17,5.83
2003-11-30 00:00:00+00:00,4.34,2.06,1.01,0.96,0.93,3.38,5.2,5.23,5.22,5.89
2003-12-07 00:00:00+00:00,4.23,1.88,0.98,0.93,0.92,3.23,5.09,5.2,5.36,6.02
2003-12-14 00:00:00+00:00,4.26,1.84,0.99,0.88,0.91,3.23,5.12,5.23,5.24,5.88
2003-12-21 00:00:00+00:00,4.15,1.82,0.98,0.87,0.88,3.16,4.99,5.11,5.14,5.82
2003-12-28 00:00:00+00:00,4.17,1.82,0.97,0.76,0.87,3.17,4.99,5.15,5.13,5.81
2004-01-04 00:00:00+00:00,4.38,1.94,1.01,0.88,0.93,3.36,5.21,5.3,5.15,5.85
2004-01-11 00:00:00+00:00,4.11,1.68,0.99,0.87,0.87,3.05,4.98,5.14,5.17,5.87
2004-01-18 00:00:00+00:00,4.04,1.7,0.98,0.8,0.89,3.03,4.9,5.04,4.97,5.66
2004-01-25 00:00:00+00:00,4.09,1.71,1.0,0.79,0.9,3.06,4.95,5.08,4.95,5.64
2004-02-01 00:00:00+00:00,4.16,1.84,1.03,0.85,0.92,3.17,5.0,5.11,4.97,5.68
2004-02-08 00:00:00+00:00,4.12,1.77,0.99,0.89,0.93,3.12,4.95,5.08,5.03,5.72
2004-02-15 00:00:00+00:00,4.05,1.7,1.01,0.9,0.92,3.01,4.92,5.08,4.96,5.66
2004-02-22 00:00:00+00:00,4.1,1.75,0.99,0.93,0.94,3.08,4.96,5.09,4.87,5.58
2004-02-29 00:00:00+00:00,3.99,1.66,1.04,0.95,0.96,3.01,4.85,5.01,4.89,5.58
