,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2003-06-29,3.58,1.38,1.08,0.8,0.87,2.52,4.57,4.83,4.63,5.24,1.65,2.71,2.2,3.1900000000000004,1.06,1.25,1.6600000000000001,45.85300064086914,33.886558532714844,66.792236328125
2003-07-06,3.67,1.32,0.96,0.87,0.87,2.55,4.64,4.93,4.75,5.4,1.6799999999999997,2.8,2.3499999999999996,3.3199999999999994,1.12,1.2599999999999998,1.6600000000000001,45.85300064086914,33.886558532714844,67.5309066772461
2003-07-13,3.66,1.29,0.98,0.89,0.89,2.52,4.65,4.94,4.85,5.52,1.63,2.77,2.37,3.3600000000000003,1.1400000000000001,1.2800000000000002,1.8599999999999994,45.85300064086914,33.886558532714844,68.55677032470703
2003-07-20,4.0,1.51,0.99,0.84,0.91,2.93,4.93,5.09,5.0,5.67,2.02,3.09,2.49,3.42,1.0699999999999998,1.0899999999999999,1.67,45.85300064086914,33.886558532714844,68.05748748779297
2003-07-27,4.22,1.52,1.03,0.92,0.93,3.1,5.15,5.31,5.27,5.94,2.17,3.2899999999999996,2.6999999999999997,3.6300000000000003,1.1199999999999997,1.0899999999999999,1.7200000000000006,45.85300064086914,33.886558532714844,68.54998779296875
2003-08-03,4.44,1.85,1.0,0.91,0.95,3.37,5.42,5.47,5.44,6.14,2.42,3.49,2.5900000000000003,3.57,1.0700000000000003,1.0299999999999994,1.6999999999999993,45.85300064086914,33.886558532714844,67.37361145019531
2003-08-10,4.27,1.72,0.96,0.91,0.96,3.17,5.29,5.4,5.66,6.34,2.21,3.3099999999999996,2.55,3.5700000000000003,1.0999999999999996,1.1300000000000008,2.0700000000000003,45.85300064086914,33.886558532714844,67.21629333496094
2003-08-17,4.55,1.85,1.39,0.92,0.95,3.42,5.49,5.57,5.58,6.24,2.4699999999999998,3.5999999999999996,2.6999999999999997,3.64,1.13,1.0200000000000005,1.6900000000000004,45.85300064086914,33.886558532714844,68.1327896118164
2003-08-24,4.48,1.97,0.99,0.96,0.98,3.47,5.37,5.4,5.6,6.28,2.49,3.5000000000000004,2.5100000000000007,3.4000000000000004,1.0100000000000002,0.9199999999999999,1.7999999999999998,45.85300064086914,33.886558532714844,68.23535919189453
2003-08-31,4.45,1.95,1.01,0.98,0.98,3.46,5.33,5.3,5.66,6.32,2.48,3.47,2.5,3.38,0.9900000000000002,0.8499999999999996,1.87,45.85300064086914,33.886558532714844,69.37750244140625
2003-09-07,4.35,1.72,0.96,0.95,0.96,3.28,5.29,5.32,5.77,6.44,2.32,3.3899999999999997,2.63,3.5700000000000003,1.0699999999999998,0.9700000000000006,2.0900000000000007,45.85300064086914,33.886558532714844,70.32815551757812
2003-09-14,4.27,1.66,1.02,0.91,0.96,3.15,5.22,5.33,5.46,6.16,2.19,3.3099999999999996,2.6099999999999994,3.5599999999999996,1.1199999999999997,1.0600000000000005,1.8900000000000006,45.85300064086914,33.886558532714844,70.06827545166016
2003-09-21,4.17,1.7,0.99,0.88,0.95,3.11,5.12,5.2,5.3,6.01,2.16,3.2199999999999998,2.4699999999999998,3.42,1.06,1.0300000000000002,1.8399999999999999,45.85300064086914,33.886558532714844,71.17483520507812
2003-09-28,4.04,1.6,1.03,0.87,0.94,2.95,4.98,5.11,5.3,5.98,2.0100000000000002,3.1,2.44,3.3800000000000003,1.0899999999999999,1.0700000000000003,1.9400000000000004,45.85300064086914,33.886558532714844,68.62086486816406
