,Industrial Production
2003-12-07 00:00:00+00:00,92.1722
2004-01-04 00:00:00+00:00,92.327
2004-03-07 00:00:00+00:00,92.5325
2004-04-04 00:00:00+00:00,92.9096
2004-06-06 00:00:00+00:00,92.8621
2004-07-04 00:00:00+00:00,93.5511
2004-09-05 00:00:00+00:00,93.7418
2004-10-03 00:00:00+00:00,94.5671
2004-11-07 00:00:00+00:00,94.8
2004-12-05 00:00:00+00:00,95.5426
2005-02-06 00:00:00+00:00,96.5616
2005-03-06 00:00:00+00:00,96.4371
2005-04-03 00:00:00+00:00,96.628
2005-06-05 00:00:00+00:00,97.1488
2005-07-03 00:00:00+00:00,96.8383
2005-08-07 00:00:00+00:00,97.1603
2005-09-04 00:00:00+00:00,95.2729
2005-11-06 00:00:00+00:00,97.4951
2005-12-04 00:00:00+00:00,97.9788
2006-02-05 00:00:00+00:00,98.1779
2006-03-05 00:00:00+00:00,98.3898
2006-05-07 00:00:00+00:00,98.7052
2006-06-04 00:00:00+00:00,99.0427
2006-08-06 00:00:00+00:00,99.4106
2006-09-03 00:00:00+00:00,99.2207
2006-11-05 00:00:00+00:00,99.0969
2006-12-03 00:00:00+00:00,100.1122
2007-01-07 00:00:00+00:00,99.7571
2007-02-04 00:00:00+00:00,100.7275
2007-03-04 00:00:00+00:00,100.9023
2007-05-06 00:00:00+00:00,101.6299
2007-06-03 00:00:00+00:00,101.6482
2007-08-05 00:00:00+00:00,101.6874
2007-10-07 00:00:00+00:00,101.6345
2007-11-04 00:00:00+00:00,102.2068
2008-01-06 00:00:00+00:00,102.14
2008-02-03 00:00:00+00:00,101.7671
2008-04-06 00:00:00+00:00,100.7424
2008-05-04 00:00:00+00:00,100.132
2008-07-06 00:00:00+00:00,99.4214
2008-08-03 00:00:00+00:00,97.8448
2008-09-07 00:00:00+00:00,93.559
2008-10-05 00:00:00+00:00,94.4956
2008-12-07 00:00:00+00:00,90.628
2009-01-04 00:00:00+00:00,88.3811
2009-04-05 00:00:00+00:00,85.7883
2009-05-03 00:00:00+00:00,84.9516
2009-06-07 00:00:00+00:00,84.6928
2009-07-05 00:00:00+00:00,85.7044
2009-09-06 00:00:00+00:00,87.4033
2009-10-04 00:00:00+00:00,87.6035
2009-12-06 00:00:00+00:00,88.2468
2010-01-03 00:00:00+00:00,89.1911
2010-02-07 00:00:00+00:00,89.4972
2010-03-07 00:00:00+00:00,90.1419
2010-04-04 00:00:00+00:00,90.4591
2010-06-06 00:00:00+00:00,91.8997
2010-07-04 00:00:00+00:00,92.2522
2010-09-05 00:00:00+00:00,92.8564
2010-10-03 00:00:00+00:00,92.6037
2010-11-07 00:00:00+00:00,92.6773
2010-12-05 00:00:00+00:00,93.5851
2011-02-06 00:00:00+00:00,92.993
2011-03-06 00:00:00+00:00,93.982
2011-04-03 00:00:00+00:00,93.6525
2011-06-05 00:00:00+00:00,94.0467
2011-07-03 00:00:00+00:00,94.4931
