,US Dollar Index
2006-01-08 00:00:00+00:00,100.0241
2006-01-15 00:00:00+00:00,99.9675
2006-01-22 00:00:00+00:00,99.9017
2006-01-29 00:00:00+00:00,99.6433
2006-02-05 00:00:00+00:00,100.118
2006-02-12 00:00:00+00:00,100.322
2006-02-19 00:00:00+00:00,100.3404
2006-02-26 00:00:00+00:00,100.2594
2006-03-05 00:00:00+00:00,99.7024
2006-03-12 00:00:00+00:00,100.9566
2006-03-19 00:00:00+00:00,99.8614
2006-03-26 00:00:00+00:00,100.7773
2006-04-02 00:00:00+00:00,100.56
2006-04-09 00:00:00+00:00,100.4187
2006-04-16 00:00:00+00:00,100.4697
2006-04-23 00:00:00+00:00,99.4345
2006-04-30 00:00:00+00:00,98.1412
2006-05-07 00:00:00+00:00,97.2585
2006-05-14 00:00:00+00:00,96.8788
2006-05-21 00:00:00+00:00,97.933
2006-05-28 00:00:00+00:00,97.8995
2006-06-04 00:00:00+00:00,97.5544
2006-06-11 00:00:00+00:00,98.5471
2006-06-18 00:00:00+00:00,98.9127
2006-06-25 00:00:00+00:00,99.4216
2006-07-02 00:00:00+00:00,98.2483
2006-07-09 00:00:00+00:00,97.7508
2006-07-16 00:00:00+00:00,98.6814
2006-07-23 00:00:00+00:00,98.5221
2006-07-30 00:00:00+00:00,98.0539
2006-08-06 00:00:00+00:00,97.6005
2006-08-13 00:00:00+00:00,97.7863
2006-08-20 00:00:00+00:00,97.7577
2006-08-27 00:00:00+00:00,97.8827
2006-09-03 00:00:00+00:00,97.5084
2006-09-10 00:00:00+00:00,98.2119
2006-09-17 00:00:00+00:00,98.2104
2006-09-24 00:00:00+00:00,97.8667
2006-10-01 00:00:00+00:00,98.1054
2006-10-08 00:00:00+00:00,98.5619
2006-10-15 00:00:00+00:00,98.8002
2006-10-22 00:00:00+00:00,98.1629
2006-10-29 00:00:00+00:00,97.4914
2006-11-05 00:00:00+00:00,97.7209
2006-11-12 00:00:00+00:00,97.4638
2006-11-19 00:00:00+00:00,97.9855
2006-11-26 00:00:00+00:00,97.0657
2006-12-03 00:00:00+00:00,96.4585
2006-12-10 00:00:00+00:00,96.6123
2006-12-17 00:00:00+00:00,96.9857
2006-12-24 00:00:00+00:00,97.1113
2006-12-31 00:00:00+00:00,97.0312
2007-01-07 00:00:00+00:00,97.7801
2007-01-14 00:00:00+00:00,97.921
2007-01-21 00:00:00+00:00,97.6868
2007-01-28 00:00:00+00:00,98.1491
2007-02-04 00:00:00+00:00,97.9743
2007-02-11 00:00:00+00:00,97.7076
2007-02-18 00:00:00+00:00,97.164
2007-02-25 00:00:00+00:00,97.1756
2007-03-04 00:00:00+00:00,97.3691
2007-03-11 00:00:00+00:00,97.4559
2007-03-18 00:00:00+00:00,97.0407
2007-03-25 00:00:00+00:00,96.5662
2007-04-01 00:00:00+00:00,96.3183
2007-04-08 00:00:00+00:00,96.2526
