,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,Unemployment Rate,GDP,Real GDP,CPI,PPI,Consumer Confidence Index,Government Debt,Government Debt to GDP,Debt Service vs Disposable Income,US Dollar Index,Corporate Profits,EBIT,Retained Earnings,Building Permits,Velocity of Money,Retail Sales,Industrial Production,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM
1962-01-02,4.06,,2.75,,,3.88,4.07,,,,,,,,,,,,,,,,,,,,,,,,,0.17999999999999972,,
1962-01-03,4.03,,2.5,,,3.87,4.07,,,,,,,,,,,,,,,,,,,,,,,,,0.16000000000000014,,
1962-01-04,3.99,,2.75,,,3.86,4.06,,,,,,,,,,,,,,,,,,,,,,,,,0.13000000000000034,,
1962-01-05,4.02,,2.5,,,3.89,4.07,,,,,,,,,,,,,,,,,,,,,,,,,0.12999999999999945,,
1962-01-08,4.03,,2.0,,,3.91,4.08,,,,,,,,,,,,,,,,,,,,,,,,,0.1200000000000001,,
1962-01-09,4.05,,1.25,,,3.93,4.08,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999999999966,,
1962-01-10,4.07,,0.5,,,3.94,4.09,,,,,,,,,,,,,,,,,,,,,,,,,0.13000000000000034,,
1962-01-11,4.08,,2.75,,,3.94,4.08,,,,,,,,,,,,,,,,,,,,,,,,,0.14000000000000012,,
1962-01-12,4.08,,2.75,,,3.95,4.09,,,,,,,,,,,,,,,,,,,,,,,,,0.1299999999999999,,
1962-01-15,4.1,,3.0,,,3.96,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.13999999999999968,,
1962-01-16,4.13,,2.5,,,3.98,4.11,,,,,,,,,,,,,,,,,,,,,,,,,0.1499999999999999,,
1962-01-17,4.12,,3.0,,,3.97,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.1499999999999999,,
1962-01-18,4.11,,2.25,,,3.96,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000036,,
1962-01-19,4.11,,2.0,,,3.95,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.16000000000000014,,
1962-01-22,4.09,,1.25,,,3.93,4.09,,,,,,,,,,,,,,,,,,,,,,,,,0.1599999999999997,,
1962-01-23,4.11,,0.5,,,3.94,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.17000000000000037,,
1962-01-24,4.1,,0.25,,,3.93,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.16999999999999948,,
1962-01-25,4.11,,2.0,,,3.94,4.12,,,,,,,,,,,,,,,,,,,,,,,,,0.17000000000000037,,
1962-01-26,4.11,,2.5,,,3.97,4.12,,,,,,,,,,,,,,,,,,,,,,,,,0.14000000000000012,,
1962-01-29,4.12,,2.5,,,3.98,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.14000000000000012,,
1962-01-30,4.11,,1.5,,,3.98,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.13000000000000034,,
1962-01-31,4.1,,1.5,,,3.99,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.10999999999999943,,
1962-02-01,4.09,,2.25,,,4.0,4.13,,,,5.5,,,30.11,,99.9,,,,,,,,1194.0,,,25.0584,,,,,0.08999999999999986,,
1962-02-02,4.08,,1.5,,,3.97,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.10999999999999988,,
1962-02-05,4.07,,2.0,,,3.96,4.12,,,,,,,,,,,,,,,,,,,,,,,,,0.11000000000000032,,
1962-02-06,4.06,,2.75,,,3.96,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.09999999999999964,,
1962-02-07,4.07,,2.75,,,3.95,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.1200000000000001,,
1962-02-08,4.07,,2.75,,,3.93,4.12,,,,,,,,,,,,,,,,,,,,,,,,,0.14000000000000012,,
1962-02-09,4.05,,2.75,,,3.91,4.11,,,,,,,,,,,,,,,,,,,,,,,,,0.13999999999999968,,
1962-02-12,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-13,4.03,,1.75,,,3.91,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.1200000000000001,,
1962-02-14,4.03,,2.75,,,3.9,4.09,,,,,,,,,,,,,,,,,,,,,,,,,0.13000000000000034,,
1962-02-15,4.02,,2.75,,,3.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999999999966,,
1962-02-16,4.02,,2.5,,,3.88,4.12,,,,,,,,,,,,,,,,,,,,,,,,,0.13999999999999968,,
1962-02-19,4.01,,2.5,,,3.86,4.11,,,,,,,,,,,,,,,,,,,,,,,,,0.1499999999999999,,
1962-02-20,4.05,,1.75,,,3.88,4.15,,,,,,,,,,,,,,,,,,,,,,,,,0.16999999999999993,,
1962-02-21,4.03,,2.0,,,3.86,4.13,,,,,,,,,,,,,,,,,,,,,,,,,0.17000000000000037,,
1962-02-22,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-23,4.02,,2.5,,,3.83,4.12,,,,,,,,,,,,,,,,,,,,,,,,,0.1899999999999995,,
1962-02-26,4.0,,2.5,,,3.8,4.11,,,,,,,,,,,,,,,,,,,,,,,,,0.20000000000000018,,
1962-02-27,4.01,,2.5,,,3.8,4.12,,,,,,,,,,,,,,,,,,,,,,,,,0.20999999999999996,,
1962-02-28,4.0,,2.75,,,3.77,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.22999999999999998,,
1962-03-01,3.98,,2.5,,,3.71,4.09,,,,5.6,,,30.17,,,,,,,,,,1134.0,,,25.1929,,,,,0.27,,
1962-03-02,3.98,,2.75,,,3.72,4.09,,,,,,,,,,,,,,,,,,,,,,,,,0.2599999999999998,,
