,Credit Card Delinquency
2003-10-05 00:00:00+00:00,4.43
2004-01-04 00:00:00+00:00,4.21
2004-04-04 00:00:00+00:00,4.15
2004-07-04 00:00:00+00:00,4.07
2004-10-03 00:00:00+00:00,4.03
2005-04-03 00:00:00+00:00,3.67
2005-07-03 00:00:00+00:00,3.9
2007-01-07 00:00:00+00:00,3.98
2007-10-07 00:00:00+00:00,4.6
2008-01-06 00:00:00+00:00,4.77
2008-04-06 00:00:00+00:00,4.9
2008-07-06 00:00:00+00:00,4.8
2008-10-05 00:00:00+00:00,5.64
2009-01-04 00:00:00+00:00,6.51
2009-04-05 00:00:00+00:00,6.77
2009-07-05 00:00:00+00:00,6.49
2009-10-04 00:00:00+00:00,6.33
2010-01-03 00:00:00+00:00,5.78
2010-04-04 00:00:00+00:00,5.1
2010-07-04 00:00:00+00:00,4.58
2010-10-03 00:00:00+00:00,4.14
2011-04-03 00:00:00+00:00,3.65
2011-07-03 00:00:00+00:00,3.45
2012-10-07 00:00:00+00:00,2.71
2013-01-06 00:00:00+00:00,2.64
2013-04-07 00:00:00+00:00,2.53
2013-07-07 00:00:00+00:00,2.44
2013-10-06 00:00:00+00:00,2.38
2014-01-05 00:00:00+00:00,2.32
2014-04-06 00:00:00+00:00,2.26
2014-07-06 00:00:00+00:00,2.2
2014-10-05 00:00:00+00:00,2.15
2015-01-04 00:00:00+00:00,2.11
2015-04-05 00:00:00+00:00,2.12
2015-07-05 00:00:00+00:00,2.15
2015-10-04 00:00:00+00:00,2.16
2016-01-03 00:00:00+00:00,2.14
2016-04-03 00:00:00+00:00,2.21
2016-07-03 00:00:00+00:00,2.3
2018-01-07 00:00:00+00:00,2.48
2018-10-07 00:00:00+00:00,2.55
2019-01-06 00:00:00+00:00,2.51
2019-04-07 00:00:00+00:00,2.59
2019-07-07 00:00:00+00:00,2.62
2019-10-06 00:00:00+00:00,2.62
2020-01-05 00:00:00+00:00,2.66
2020-04-05 00:00:00+00:00,2.45
2020-07-05 00:00:00+00:00,2.0
2020-10-04 00:00:00+00:00,2.11
2021-01-03 00:00:00+00:00,1.86
2021-04-04 00:00:00+00:00,1.59
2021-07-04 00:00:00+00:00,1.55
2021-10-03 00:00:00+00:00,1.57
2022-04-03 00:00:00+00:00,1.84
2022-07-03 00:00:00+00:00,2.08
