,Building Permits,Residential Property Prices,Housing Starts
2003-10-05 00:00:00+00:00,2012.0,122.7173,1967.0
2004-01-04 00:00:00+00:00,1952.0,125.8122,1911.0
2004-04-04 00:00:00+00:00,2070.0,128.793,2003.0
2004-07-04 00:00:00+00:00,2112.0,132.8739,2002.0
2004-10-03 00:00:00+00:00,2097.0,136.9851,2072.0
2005-04-03 00:00:00+00:00,2150.0,145.4052,2061.0
2005-07-03 00:00:00+00:00,2203.0,148.6141,2054.0
2007-01-07 00:00:00+00:00,1626.0,146.5267,1409.0
2007-10-07 00:00:00+00:00,1192.0,130.1777,1264.0
2008-01-06 00:00:00+00:00,1094.0,123.6304,1084.0
2008-04-06 00:00:00+00:00,1008.0,115.4276,1013.0
2008-07-06 00:00:00+00:00,921.0,108.9268,923.0
2008-10-05 00:00:00+00:00,736.0,106.5096,777.0
2009-01-04 00:00:00+00:00,545.0,103.9032,490.0
2009-04-05 00:00:00+00:00,521.0,102.7466,478.0
2009-07-05 00:00:00+00:00,595.0,102.4671,594.0
2009-10-04 00:00:00+00:00,583.0,102.617,534.0
2010-01-03 00:00:00+00:00,636.0,102.2074,614.0
2010-04-04 00:00:00+00:00,637.0,100.9843,687.0
2010-07-04 00:00:00+00:00,579.0,99.0402,546.0
2010-10-03 00:00:00+00:00,558.0,97.788,543.0
2011-04-03 00:00:00+00:00,581.0,93.7513,554.0
2011-07-03 00:00:00+00:00,621.0,93.768,623.0
2012-10-07 00:00:00+00:00,887.0,99.3697,915.0
2013-01-06 00:00:00+00:00,940.0,101.3268,888.0
2013-04-07 00:00:00+00:00,1012.0,103.4731,835.0
2013-07-07 00:00:00+00:00,997.0,105.5484,880.0
2013-10-06 00:00:00+00:00,1044.0,107.9604,925.0
2014-01-05 00:00:00+00:00,976.0,108.478,888.0
2014-04-06 00:00:00+00:00,1090.0,107.967,1043.0
2014-07-06 00:00:00+00:00,1076.0,109.2765,1085.0
2014-10-05 00:00:00+00:00,1094.0,111.842,1074.0
2015-01-04 00:00:00+00:00,1049.0,113.8361,1085.0
2015-04-05 00:00:00+00:00,1166.0,113.785,1190.0
2015-07-05 00:00:00+00:00,1140.0,115.101,1146.0
2015-10-04 00:00:00+00:00,1160.0,117.2785,1058.0
2016-01-03 00:00:00+00:00,1171.0,118.6772,1092.0
2016-04-03 00:00:00+00:00,1160.0,118.6592,1163.0
2016-07-03 00:00:00+00:00,1198.0,119.8883,1239.0
2018-01-07 00:00:00+00:00,1311.0,126.9492,1299.0
2018-10-07 00:00:00+00:00,1280.0,129.1824,1221.0
2019-01-06 00:00:00+00:00,1254.0,129.7347,1232.0
2019-04-07 00:00:00+00:00,1298.0,129.4206,1267.0
2019-07-07 00:00:00+00:00,1347.0,130.573,1245.0
2019-10-06 00:00:00+00:00,1538.0,132.3046,1332.0
2020-01-05 00:00:00+00:00,1500.0,133.3933,1572.0
2020-04-05 00:00:00+00:00,1050.0,135.4279,925.0
2020-07-05 00:00:00+00:00,1526.0,138.1224,1529.0
2020-10-04 00:00:00+00:00,1622.0,143.0084,1537.0
2021-01-03 00:00:00+00:00,1866.0,146.1197,1602.0
2021-04-04 00:00:00+00:00,1714.0,149.3852,1484.0
2021-07-04 00:00:00+00:00,1618.0,153.7391,1593.0
2021-10-03 00:00:00+00:00,1727.0,157.7698,1572.0
2022-04-03 00:00:00+00:00,1795.0,160.3783,1803.0
2022-07-03 00:00:00+00:00,1658.0,158.2983,1371.0
