,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,10-Year Euro Gov Bond Yield,3-Month Euro Gov Bond Yield,3-Month China Gov Bond Yield,10-Year India Gov Bond Yield
2011-12-04 00:00:00+00:00,2.05,0.25,0.08,0.02,0.02,0.92,2.74,3.03,3.3,4.0,4.0932,1.4261,5.57,8.56
2012-02-05 00:00:00+00:00,1.97,0.23,0.11,0.06,0.08,0.78,2.76,3.13,3.14,3.87,3.7461,1.0483,5.36,8.1925
2012-03-04 00:00:00+00:00,1.99,0.28,0.11,0.06,0.07,0.84,2.77,3.11,3.17,3.9,3.2821,0.8585,4.72,8.374
2012-05-06 00:00:00+00:00,1.91,0.27,0.16,0.05,0.07,0.78,2.67,3.07,3.07,3.84,3.527,0.6849,4.04,8.565
2012-06-03 00:00:00+00:00,1.47,0.25,0.16,0.03,0.07,0.62,2.13,2.53,2.97,3.75,3.4056,0.6589,3.7,8.204
2012-08-05 00:00:00+00:00,1.6,0.24,0.14,0.03,0.09,0.67,2.3,2.65,2.83,3.55,3.0094,0.3324,3.59,8.196
2012-10-07 00:00:00+00:00,1.75,0.27,0.15,0.1,0.11,0.67,2.55,2.96,2.69,3.36,2.3055,0.2079,3.78,8.1475
2012-11-04 00:00:00+00:00,1.75,0.28,0.16,0.08,0.09,0.73,2.51,2.91,2.7,3.39,2.2467,0.192,3.82,8.204
2013-01-06 00:00:00+00:00,1.93,0.27,0.16,0.06,0.07,0.82,2.7,3.1,2.64,3.34,2.393,0.2049,3.77,7.8725
2013-02-03 00:00:00+00:00,2.04,0.27,0.14,0.02,0.06,0.88,2.83,3.21,2.81,3.53,2.8582,0.2234,3.71,7.8375
2013-03-03 00:00:00+00:00,1.86,0.25,0.14,0.07,0.11,0.75,2.68,3.06,2.76,3.51,3.0276,0.2061,3.52,7.91
2013-04-07 00:00:00+00:00,1.72,0.24,0.15,0.05,0.07,0.68,2.5,2.87,2.74,3.54,2.8552,0.2089,3.63,7.83
2013-05-05 00:00:00+00:00,1.78,0.22,0.14,0.02,0.05,0.73,2.58,2.96,2.56,3.35,2.6856,0.2012,3.84,7.502
2013-07-07 00:00:00+00:00,2.73,0.4,0.1,0.03,0.04,1.6,3.41,3.68,3.39,4.29,3.1011,0.2214,5.09,7.725
2013-08-04 00:00:00+00:00,2.63,0.3,0.09,0.02,0.04,1.36,3.39,3.69,3.43,4.39,3.0967,0.2259,5.4,8.328
2013-10-06 00:00:00+00:00,2.66,0.33,0.08,0.11,0.03,1.41,3.43,3.73,3.29,4.22,3.1626,0.2258,5.14,8.5725
2013-11-03 00:00:00+00:00,2.65,0.33,0.08,0.03,0.04,1.37,3.4,3.69,3.2,4.1,3.1712,0.2234,6.43,8.862
2014-01-05 00:00:00+00:00,3.01,0.41,0.08,0.02,0.07,1.73,3.69,3.93,3.55,4.53,3.2124,0.292,6.76,8.764
2014-04-06 00:00:00+00:00,2.74,0.43,0.08,0.03,0.03,1.71,3.33,3.59,3.47,4.41,2.6103,0.3297,4.64,8.9875
2014-05-04 00:00:00+00:00,2.6,0.42,0.09,0.01,0.02,1.67,3.12,3.37,3.38,4.29,2.555,0.3246,4.5,8.752
2014-07-06 00:00:00+00:00,2.65,0.52,0.09,0.01,0.01,1.74,3.21,3.47,3.22,4.12,2.1583,0.205,4.57,8.655
2014-08-03 00:00:00+00:00,2.52,0.47,0.09,0.01,0.03,1.67,3.03,3.29,3.23,4.12,1.9899,0.1916,4.47,8.56
2014-09-07 00:00:00+00:00,2.46,0.52,0.09,0.02,0.03,1.69,2.97,3.23,3.24,4.1,1.8485,0.0971,4.44,8.4925
2014-10-05 00:00:00+00:00,2.45,0.57,0.09,0.01,0.01,1.73,2.89,3.13,3.36,4.19,1.6899,0.0826,4.26,8.402
2014-12-07 00:00:00+00:00,2.31,0.65,0.12,0.02,0.02,1.69,2.69,2.97,3.1,3.89,1.4475,0.0809,5.22,7.955
2015-01-04 00:00:00+00:00,2.12,0.66,0.12,0.02,0.02,1.61,2.41,2.69,3.15,3.87,1.2678,0.0627,4.98,7.794
2015-04-05 00:00:00+00:00,1.85,0.49,0.12,0.04,0.02,1.26,2.24,2.49,2.98,3.7,0.8509,0.0047,4.1,7.836666667
2015-05-03 00:00:00+00:00,2.12,0.6,0.13,0.0,0.01,1.5,2.57,2.82,2.94,3.68,1.3326,-0.0104,3.11,7.852
2015-06-07 00:00:00+00:00,2.41,0.73,0.13,0.02,0.03,1.75,2.87,3.11,3.08,3.87,1.6651,-0.0139,3.35,7.8075
