,Corporate Profits
2003-10-05 00:00:00+00:00,816.612
2004-01-04 00:00:00+00:00,928.229
2004-04-04 00:00:00+00:00,967.703
2004-07-04 00:00:00+00:00,1010.194
2004-10-03 00:00:00+00:00,1010.647
2005-04-03 00:00:00+00:00,1252.584
2005-07-03 00:00:00+00:00,1296.981
2007-01-07 00:00:00+00:00,1325.943
2007-10-07 00:00:00+00:00,1368.063
2008-01-06 00:00:00+00:00,1260.771
2008-04-06 00:00:00+00:00,1285.329
2008-07-06 00:00:00+00:00,1226.043
2008-10-05 00:00:00+00:00,721.414
2009-01-04 00:00:00+00:00,1082.708
2009-04-05 00:00:00+00:00,1161.627
2009-07-05 00:00:00+00:00,1346.957
2009-10-04 00:00:00+00:00,1462.942
2010-01-03 00:00:00+00:00,1530.604
2010-04-04 00:00:00+00:00,1517.068
2010-07-04 00:00:00+00:00,1600.154
2010-10-03 00:00:00+00:00,1599.159
2011-04-03 00:00:00+00:00,1529.084
2011-07-03 00:00:00+00:00,1539.465
2012-10-07 00:00:00+00:00,1785.961
2013-01-06 00:00:00+00:00,1766.372
2013-04-07 00:00:00+00:00,1757.557
2013-07-07 00:00:00+00:00,1792.757
2013-10-06 00:00:00+00:00,1838.838
2014-01-05 00:00:00+00:00,1767.596
2014-04-06 00:00:00+00:00,1865.14
2014-07-06 00:00:00+00:00,1917.769
2014-10-05 00:00:00+00:00,1879.109
2015-01-04 00:00:00+00:00,1770.989
2015-04-05 00:00:00+00:00,1789.321
2015-07-05 00:00:00+00:00,1732.347
2015-10-04 00:00:00+00:00,1635.297
2016-01-03 00:00:00+00:00,1696.75
2016-04-03 00:00:00+00:00,1758.389
2016-07-03 00:00:00+00:00,1753.676
2018-01-07 00:00:00+00:00,1927.686
2018-10-07 00:00:00+00:00,1982.179
2019-01-06 00:00:00+00:00,1964.614
2019-04-07 00:00:00+00:00,2007.327
2019-07-07 00:00:00+00:00,1985.362
2019-10-06 00:00:00+00:00,2072.258
2020-01-05 00:00:00+00:00,1938.608
2020-04-05 00:00:00+00:00,1822.599
2020-07-05 00:00:00+00:00,2390.745
2020-10-04 00:00:00+00:00,2291.749
2021-01-03 00:00:00+00:00,2587.196
2021-04-04 00:00:00+00:00,2824.269
2021-07-04 00:00:00+00:00,2827.118
2021-10-03 00:00:00+00:00,2760.777
2022-04-03 00:00:00+00:00,3043.114
2022-07-03 00:00:00+00:00,2890.812
