,Retained Earnings
2003-10-05 00:00:00+00:00,368353.0
2004-01-04 00:00:00+00:00,410168.0
2004-04-04 00:00:00+00:00,409576.0
2004-07-04 00:00:00+00:00,437842.0
2004-10-03 00:00:00+00:00,295239.0
2005-04-03 00:00:00+00:00,517040.0
2005-07-03 00:00:00+00:00,495763.0
2007-01-07 00:00:00+00:00,389138.0
2007-10-07 00:00:00+00:00,419164.0
2008-01-06 00:00:00+00:00,285415.0
2008-04-06 00:00:00+00:00,302652.0
2008-07-06 00:00:00+00:00,469324.0
2008-10-05 00:00:00+00:00,382730.0
2009-01-04 00:00:00+00:00,351125.0
2009-04-05 00:00:00+00:00,355882.0
2009-07-05 00:00:00+00:00,486279.0
2009-10-04 00:00:00+00:00,563883.0
2010-01-03 00:00:00+00:00,645976.0
2010-04-04 00:00:00+00:00,652253.0
2010-07-04 00:00:00+00:00,715175.0
2010-10-03 00:00:00+00:00,650566.0
2011-04-03 00:00:00+00:00,691694.0
2011-07-03 00:00:00+00:00,730721.0
2012-10-07 00:00:00+00:00,535146.0
2013-01-06 00:00:00+00:00,737231.0
2013-04-07 00:00:00+00:00,735848.0
2013-07-07 00:00:00+00:00,684327.0
2013-10-06 00:00:00+00:00,746895.0
2014-01-05 00:00:00+00:00,543583.0
2014-04-06 00:00:00+00:00,632973.0
2014-07-06 00:00:00+00:00,773699.0
2014-10-05 00:00:00+00:00,723832.0
2015-01-04 00:00:00+00:00,646506.0
2015-04-05 00:00:00+00:00,608251.0
2015-07-05 00:00:00+00:00,640648.0
2015-10-04 00:00:00+00:00,618099.0
2016-01-03 00:00:00+00:00,590472.0
2016-04-03 00:00:00+00:00,476008.0
2016-07-03 00:00:00+00:00,478660.0
2018-01-07 00:00:00+00:00,750146.0
2018-10-07 00:00:00+00:00,654590.0
2019-01-06 00:00:00+00:00,634164.0
2019-04-07 00:00:00+00:00,661556.0
2019-07-07 00:00:00+00:00,662934.0
2019-10-06 00:00:00+00:00,693985.0
2020-01-05 00:00:00+00:00,471995.0
2020-04-05 00:00:00+00:00,333041.0
2020-07-05 00:00:00+00:00,729388.0
2020-10-04 00:00:00+00:00,511202.0
2021-01-03 00:00:00+00:00,690367.0
2021-04-04 00:00:00+00:00,772128.0
2021-07-04 00:00:00+00:00,776466.0
2021-10-03 00:00:00+00:00,736821.0
2022-04-03 00:00:00+00:00,870132.0
2022-07-03 00:00:00+00:00,985882.0
