,Retail Sales
2003-09-07 00:00:00+00:00,276430.0
2003-10-05 00:00:00+00:00,274764.0
2003-12-07 00:00:00+00:00,277612.0
2004-01-04 00:00:00+00:00,278913.0
2004-03-07 00:00:00+00:00,286209.0
2004-04-04 00:00:00+00:00,282952.0
2004-06-06 00:00:00+00:00,284133.0
2004-07-04 00:00:00+00:00,287358.0
2004-09-05 00:00:00+00:00,293139.0
2004-10-03 00:00:00+00:00,295115.0
2004-11-07 00:00:00+00:00,296177.0
2004-12-05 00:00:00+00:00,299763.0
2005-02-06 00:00:00+00:00,300557.0
2005-03-06 00:00:00+00:00,301308.0
2005-04-03 00:00:00+00:00,303760.0
2005-06-05 00:00:00+00:00,310989.0
2005-07-03 00:00:00+00:00,313520.0
2005-08-07 00:00:00+00:00,310046.0
2005-09-04 00:00:00+00:00,310673.0
2005-11-06 00:00:00+00:00,313303.0
2005-12-04 00:00:00+00:00,313473.0
2006-02-05 00:00:00+00:00,320171.0
2006-03-05 00:00:00+00:00,320869.0
2006-05-07 00:00:00+00:00,321794.0
2006-06-04 00:00:00+00:00,323184.0
2006-08-06 00:00:00+00:00,325324.0
2006-09-03 00:00:00+00:00,323236.0
2006-11-05 00:00:00+00:00,323343.0
2006-12-03 00:00:00+00:00,326849.0
2007-01-07 00:00:00+00:00,327181.0
2007-02-04 00:00:00+00:00,327953.0
2007-03-04 00:00:00+00:00,330579.0
2007-05-06 00:00:00+00:00,334202.0
2007-06-03 00:00:00+00:00,331076.0
2007-08-05 00:00:00+00:00,334169.0
2007-10-07 00:00:00+00:00,337530.0
2007-11-04 00:00:00+00:00,341133.0
2008-01-06 00:00:00+00:00,337412.0
2008-02-03 00:00:00+00:00,334584.0
2008-04-06 00:00:00+00:00,334843.0
2008-05-04 00:00:00+00:00,337947.0
2008-07-06 00:00:00+00:00,336771.0
2008-08-03 00:00:00+00:00,334045.0
2008-09-07 00:00:00+00:00,328343.0
2008-10-05 00:00:00+00:00,314830.0
2008-12-07 00:00:00+00:00,294025.0
2009-01-04 00:00:00+00:00,298673.0
2009-04-05 00:00:00+00:00,293614.0
2009-05-03 00:00:00+00:00,296501.0
2009-06-07 00:00:00+00:00,302169.0
2009-07-05 00:00:00+00:00,302802.0
2009-09-06 00:00:00+00:00,301033.0
2009-10-04 00:00:00+00:00,304154.0
2009-12-06 00:00:00+00:00,308413.0
2010-01-03 00:00:00+00:00,308346.0
2010-02-07 00:00:00+00:00,308435.0
2010-03-07 00:00:00+00:00,315771.0
2010-04-04 00:00:00+00:00,318646.0
2010-06-06 00:00:00+00:00,314806.0
2010-07-04 00:00:00+00:00,315589.0
2010-09-05 00:00:00+00:00,319912.0
2010-10-03 00:00:00+00:00,324078.0
2010-11-07 00:00:00+00:00,327340.0
2010-12-05 00:00:00+00:00,329684.0
2011-02-06 00:00:00+00:00,334619.0
2011-03-06 00:00:00+00:00,337859.0
2011-04-03 00:00:00+00:00,339671.0
2011-06-05 00:00:00+00:00,341601.0
2011-07-03 00:00:00+00:00,341366.0
2011-08-07 00:00:00+00:00,341964.0
2011-09-04 00:00:00+00:00,345545.0
2011-11-06 00:00:00+00:00,348930.0
2011-12-04 00:00:00+00:00,349671.0
2012-02-05 00:00:00+00:00,357205.0
2012-03-04 00:00:00+00:00,358614.0
2012-05-06 00:00:00+00:00,355793.0
2012-06-03 00:00:00+00:00,352088.0
2012-08-05 00:00:00+00:00,358452.0
2012-10-07 00:00:00+00:00,361714.0
2012-11-04 00:00:00+00:00,362746.0
2013-01-06 00:00:00+00:00,366868.0
2013-02-03 00:00:00+00:00,372191.0
2013-03-03 00:00:00+00:00,369051.0
2013-04-07 00:00:00+00:00,367123.0
2013-05-05 00:00:00+00:00,369516.0
2013-07-07 00:00:00+00:00,373185.0
2013-08-04 00:00:00+00:00,372208.0
2013-10-06 00:00:00+00:00,373275.0
2013-11-03 00:00:00+00:00,373691.0
2014-01-05 00:00:00+00:00,373103.0
2014-04-06 00:00:00+00:00,386409.0
2014-05-04 00:00:00+00:00,386717.0
2014-07-06 00:00:00+00:00,387978.0
2014-08-03 00:00:00+00:00,391224.0
2014-09-07 00:00:00+00:00,389504.0
2014-10-05 00:00:00+00:00,390417.0
2014-12-07 00:00:00+00:00,388028.0
2015-01-04 00:00:00+00:00,385289.0
2015-04-05 00:00:00+00:00,391130.0
2015-05-03 00:00:00+00:00,394366.0
2015-06-07 00:00:00+00:00,394743.0
2015-07-05 00:00:00+00:00,398028.0
2015-09-06 00:00:00+00:00,395641.0
2015-10-04 00:00:00+00:00,394266.0
2015-12-06 00:00:00+00:00,396826.0
2016-01-03 00:00:00+00:00,394486.0
2016-02-07 00:00:00+00:00,397676.0
2016-03-06 00:00:00+00:00,396630.0
2016-04-03 00:00:00+00:00,398199.0
2016-06-05 00:00:00+00:00,404475.0
2016-07-03 00:00:00+00:00,403827.0
2016-08-07 00:00:00+00:00,403731.0
2016-09-04 00:00:00+00:00,406064.0
2016-11-06 00:00:00+00:00,405929.0
2016-12-04 00:00:00+00:00,412576.0
2017-02-05 00:00:00+00:00,415552.0
2017-03-05 00:00:00+00:00,414836.0
2017-05-07 00:00:00+00:00,414102.0
2017-06-04 00:00:00+00:00,416293.0
2017-08-06 00:00:00+00:00,416888.0
2017-09-03 00:00:00+00:00,426198.0
2017-11-05 00:00:00+00:00,430931.0
2017-12-03 00:00:00+00:00,433537.0
2018-01-07 00:00:00+00:00,431045.0
2018-02-04 00:00:00+00:00,433754.0
2018-03-04 00:00:00+00:00,432891.0
2018-05-06 00:00:00+00:00,439781.0
2018-06-03 00:00:00+00:00,437530.0
2018-08-05 00:00:00+00:00,439439.0
2018-10-07 00:00:00+00:00,443560.0
2018-11-04 00:00:00+00:00,445484.0
2019-01-06 00:00:00+00:00,438377.0
2019-02-03 00:00:00+00:00,438830.0
2019-03-03 00:00:00+00:00,446084.0
2019-04-07 00:00:00+00:00,445957.0
2019-05-05 00:00:00+00:00,448869.0
2019-07-07 00:00:00+00:00,452442.0
2019-08-04 00:00:00+00:00,455725.0
2019-10-06 00:00:00+00:00,453140.0
2019-11-03 00:00:00+00:00,456656.0
2020-01-05 00:00:00+00:00,456334.0
2020-04-05 00:00:00+00:00,376992.0
2020-05-03 00:00:00+00:00,444746.0
2020-06-07 00:00:00+00:00,474621.0
2020-07-05 00:00:00+00:00,480461.0
2020-09-06 00:00:00+00:00,492411.0
2020-10-04 00:00:00+00:00,490482.0
2020-12-06 00:00:00+00:00,496423.0
2021-01-03 00:00:00+00:00,510740.0
2021-02-07 00:00:00+00:00,497758.0
2021-03-07 00:00:00+00:00,550349.0
2021-04-04 00:00:00+00:00,552575.0
2021-06-06 00:00:00+00:00,548414.0
2021-07-04 00:00:00+00:00,537466.0
2021-09-05 00:00:00+00:00,547197.0
2021-10-03 00:00:00+00:00,557190.0
2021-11-07 00:00:00+00:00,563358.0
2021-12-05 00:00:00+00:00,560896.0
2022-02-06 00:00:00+00:00,577933.0
2022-03-06 00:00:00+00:00,589238.0
2022-04-03 00:00:00+00:00,595371.0
2022-06-05 00:00:00+00:00,598405.0
2022-07-03 00:00:00+00:00,593452.0
2022-08-07 00:00:00+00:00,596848.0
2022-09-04 00:00:00+00:00,596156.0
2022-11-06 00:00:00+00:00,593090.0
2022-12-04 00:00:00+00:00,588540.0
2023-02-05 00:00:00+00:00,600669.0
2023-03-05 00:00:00+00:00,594281.0
2023-05-07 00:00:00+00:00,599958.0
2023-06-04 00:00:00+00:00,601433.0
