,EBIT
2003-10-05 00:00:00+00:00,1213665.0
2004-01-04 00:00:00+00:00,1298296.0
2004-04-04 00:00:00+00:00,1300161.0
2004-07-04 00:00:00+00:00,1347059.0
2004-10-03 00:00:00+00:00,1353259.0
2005-04-03 00:00:00+00:00,1470931.0
2005-07-03 00:00:00+00:00,1308381.0
2007-01-07 00:00:00+00:00,1770372.0
2007-10-07 00:00:00+00:00,1757403.0
2008-01-06 00:00:00+00:00,1582816.0
2008-04-06 00:00:00+00:00,1605207.0
2008-07-06 00:00:00+00:00,1753375.0
2008-10-05 00:00:00+00:00,1572278.0
2009-01-04 00:00:00+00:00,1416328.0
2009-04-05 00:00:00+00:00,1365080.0
2009-07-05 00:00:00+00:00,1405974.0
2009-10-04 00:00:00+00:00,1543105.0
2010-01-03 00:00:00+00:00,1639075.0
2010-04-04 00:00:00+00:00,1639268.0
2010-07-04 00:00:00+00:00,1762714.0
2010-10-03 00:00:00+00:00,1717421.0
2011-04-03 00:00:00+00:00,1775828.0
2011-07-03 00:00:00+00:00,1809230.0
2012-10-07 00:00:00+00:00,1871397.0
2013-01-06 00:00:00+00:00,1931288.0
2013-04-07 00:00:00+00:00,1912804.0
2013-07-07 00:00:00+00:00,1966988.0
2013-10-06 00:00:00+00:00,1921273.0
2014-01-05 00:00:00+00:00,1846673.0
2014-04-06 00:00:00+00:00,1947140.0
2014-07-06 00:00:00+00:00,2060288.0
2014-10-05 00:00:00+00:00,2051673.0
2015-01-04 00:00:00+00:00,2010689.0
2015-04-05 00:00:00+00:00,1963432.0
2015-07-05 00:00:00+00:00,2026850.0
2015-10-04 00:00:00+00:00,1968205.0
2016-01-03 00:00:00+00:00,2028024.0
2016-04-03 00:00:00+00:00,1914401.0
2016-07-03 00:00:00+00:00,1853365.0
2018-01-07 00:00:00+00:00,1234482.0
2018-10-07 00:00:00+00:00,1650632.0
2019-01-06 00:00:00+00:00,1948801.0
2019-04-07 00:00:00+00:00,1907912.0
2019-07-07 00:00:00+00:00,2012534.0
2019-10-06 00:00:00+00:00,2138690.0
2020-01-05 00:00:00+00:00,1897570.0
2020-04-05 00:00:00+00:00,1777324.0
2020-07-05 00:00:00+00:00,2353581.0
2020-10-04 00:00:00+00:00,2120255.0
2021-01-03 00:00:00+00:00,2354575.0
2021-04-04 00:00:00+00:00,2558690.0
2021-07-04 00:00:00+00:00,2487119.0
2021-10-03 00:00:00+00:00,2614953.0
2022-04-03 00:00:00+00:00,2646455.0
2022-07-03 00:00:00+00:00,2612656.0
