,Corporate_Bonds,Gold,SP500
2003-06-29 00:00:00+00:00,45.85299301147461,33.88656234741211,66.792236328125
2003-07-06 00:00:00+00:00,91.70598602294922,67.77312469482422,134.32312774658203
2003-07-13 00:00:00+00:00,137.55897903442383,101.65968704223633,202.8799591064453
2003-07-20 00:00:00+00:00,183.41197204589844,135.54624938964844,270.93748474121094
2003-07-27 00:00:00+00:00,229.26496505737305,169.43281173706055,339.48743438720703
2003-08-03 00:00:00+00:00,275.11795806884766,203.31937408447266,406.8610382080078
2003-08-10 00:00:00+00:00,320.97095108032227,237.20593643188477,474.0773162841797
2003-08-17 00:00:00+00:00,366.8239440917969,271.0924987792969,542.210075378418
2003-08-24 00:00:00+00:00,412.6769371032715,304.979061126709,610.445426940918
2003-08-31 00:00:00+00:00,458.5299301147461,338.8656234741211,679.8229293823242
2003-09-07 00:00:00+00:00,504.3829231262207,372.7521858215332,750.1511077880859
2003-09-14 00:00:00+00:00,550.2359161376953,406.6387481689453,820.2193603515625
2003-09-21 00:00:00+00:00,596.0889091491699,440.5253105163574,891.3941879272461
2003-09-28 00:00:00+00:00,641.9419021606445,474.41187286376953,960.0150527954102
2003-10-05 00:00:00+00:00,687.7948951721191,508.29843521118164,1030.9976501464844
2003-10-12 00:00:00+00:00,733.6478881835938,542.1849975585938,1102.7903594970703
2003-10-19 00:00:00+00:00,779.5008811950684,576.0715599060059,1174.3703002929688
2003-10-26 00:00:00+00:00,825.353874206543,609.958122253418,1245.4833526611328
2003-11-02 00:00:00+00:00,871.2068672180176,643.8446846008301,1317.7772827148438
2003-11-09 00:00:00+00:00,917.0598602294922,677.7312469482422,1390.2840194702148
2003-11-16 00:00:00+00:00,962.9128532409668,711.6178092956543,1462.6877899169922
2003-11-23 00:00:00+00:00,1008.7658462524414,745.5043716430664,1534.233383178711
2003-11-30 00:00:00+00:00,1054.618839263916,779.3909339904785,1607.3168334960938
2003-12-07 00:00:00+00:00,1100.4718322753906,813.2774963378906,1680.674903869629
2003-12-14 00:00:00+00:00,1146.3248252868652,847.1640586853027,1754.9186172485352
2003-12-21 00:00:00+00:00,1192.1778182983398,881.0506210327148,1830.0374069213867
2003-12-28 00:00:00+00:00,1238.0308113098145,914.937183380127,1905.7080307006836
2004-01-04 00:00:00+00:00,1283.883804321289,948.8237457275391,1982.4340286254883
2004-01-11 00:00:00+00:00,1329.7367973327637,982.7103080749512,2059.9602127075195
2004-01-18 00:00:00+00:00,1375.5897903442383,1016.5968704223633,2138.755615234375
2004-01-25 00:00:00+00:00,1421.442783355713,1050.4834327697754,2217.6889572143555
2004-02-01 00:00:00+00:00,1467.2957763671875,1084.3699951171875,2295.9670181274414
2004-02-08 00:00:00+00:00,1513.148769378662,1118.2565574645996,2374.914192199707
2004-02-15 00:00:00+00:00,1559.0017623901367,1152.1431198120117,2454.3303833007812
2004-02-22 00:00:00+00:00,1604.8547554016113,1186.0296821594238,2533.574172973633
2004-02-29 00:00:00+00:00,1650.707748413086,1219.916244506836,2612.9145126342773
2004-03-07 00:00:00+00:00,1696.5607414245605,1253.802806854248,2693.19295501709
2004-03-14 00:00:00+00:00,1742.4137344360352,1287.6893692016602,2770.8501892089844
2004-03-21 00:00:00+00:00,1788.2667274475098,1321.5759315490723,2847.7275009155273
2004-03-28 00:00:00+00:00,1834.1197204589844,1355.4624938964844,2924.5840454101562
2004-04-04 00:00:00+00:00,1879.972713470459,1389.3490562438965,3003.939483642578
2004-04-11 00:00:00+00:00,1925.8257064819336,1423.2356185913086,3083.108024597168
2004-04-18 00:00:00+00:00,1971.6786994934082,1457.1221809387207,3161.902763366699
2004-04-25 00:00:00+00:00,2017.5316925048828,1491.0087432861328,3241.0643768310547
2004-05-02 00:00:00+00:00,2063.3846855163574,1524.895305633545,3317.8724212646484
2004-05-09 00:00:00+00:00,2109.237678527832,1558.781867980957,3393.9883041381836
2004-05-16 00:00:00+00:00,2155.0906715393066,1592.6684303283691,3470.1595611572266
2004-05-23 00:00:00+00:00,2200.9436645507812,1626.5549926757812,3546.171585083008
2004-05-30 00:00:00+00:00,2246.796657562256,1660.4415550231934,3624.294891357422
2004-06-06 00:00:00+00:00,2292.6496505737305,1694.3281173706055,3702.5012283325195
2004-06-13 00:00:00+00:00,2338.502643585205,1728.2146797180176,3781.655906677246
2004-06-20 00:00:00+00:00,2384.3556365966797,1762.1012420654297,3860.599296569824
2004-06-27 00:00:00+00:00,2430.2086296081543,1795.9878044128418,3939.688591003418
2004-07-04 00:00:00+00:00,2476.061622619629,1829.874366760254,4018.110954284668
2004-07-11 00:00:00+00:00,2521.9146156311035,1863.760929107666,4095.7343521118164
2004-07-18 00:00:00+00:00,2567.767608642578,1897.6474914550781,4172.649116516113
2004-07-25 00:00:00+00:00,2613.6206016540527,1931.5340538024902,4248.348083496094
2004-08-01 00:00:00+00:00,2659.4735946655273,1965.4206161499023,4325.353141784668
2004-08-08 00:00:00+00:00,2705.326587677002,1999.3071784973145,4399.586227416992
2004-08-15 00:00:00+00:00,2751.1795806884766,2033.1937408447266,4474.055526733398
2004-08-22 00:00:00+00:00,2797.032573699951,2067.0803031921387,4550.810508728027
2004-08-29 00:00:00+00:00,2842.885566711426,2100.966865539551,4628.239387512207
2004-09-05 00:00:00+00:00,2888.7385597229004,2134.853427886963,4706.133750915527
2004-09-12 00:00:00+00:00,2934.591552734375,2168.739990234375,4784.68115234375
2004-09-19 00:00:00+00:00,2980.4445457458496,2202.626552581787,4863.618309020996
2004-09-26 00:00:00+00:00,3026.297538757324,2236.513114929199,4941.376449584961
2004-10-03 00:00:00+00:00,3072.150531768799,2270.3996772766113,5020.662414550781
2004-10-10 00:00:00+00:00,3118.0035247802734,2304.2862396240234,5099.153114318848
2004-10-17 00:00:00+00:00,3163.856517791748,2338.1728019714355,5176.771766662598
2004-10-24 00:00:00+00:00,3209.7095108032227,2372.0593643188477,5253.5043869018555
2004-10-31 00:00:00+00:00,3255.5625038146973,2405.9459266662598,5332.4764404296875
2004-11-07 00:00:00+00:00,3301.415496826172,2439.832489013672,5414.294845581055
2004-11-14 00:00:00+00:00,3347.2684898376465,2473.719051361084,5497.166679382324
2004-11-21 00:00:00+00:00,3393.121482849121,2507.605613708496,5579.325500488281
