,Unemployment Rate
2003-08-03 00:00:00+00:00,6.1
2003-09-07 00:00:00+00:00,6.1
2003-10-05 00:00:00+00:00,6.0
2003-12-07 00:00:00+00:00,5.7
2004-01-04 00:00:00+00:00,5.7
2004-03-07 00:00:00+00:00,5.8
2004-04-04 00:00:00+00:00,5.6
2004-06-06 00:00:00+00:00,5.6
2004-07-04 00:00:00+00:00,5.5
2004-09-05 00:00:00+00:00,5.4
2004-10-03 00:00:00+00:00,5.5
2004-11-07 00:00:00+00:00,5.4
2004-12-05 00:00:00+00:00,5.4
2005-02-06 00:00:00+00:00,5.4
2005-03-06 00:00:00+00:00,5.2
2005-04-03 00:00:00+00:00,5.2
2005-06-05 00:00:00+00:00,5.0
2005-07-03 00:00:00+00:00,5.0
2005-08-07 00:00:00+00:00,4.9
2005-09-04 00:00:00+00:00,5.0
2005-11-06 00:00:00+00:00,5.0
2005-12-04 00:00:00+00:00,4.9
2006-02-05 00:00:00+00:00,4.8
2006-03-05 00:00:00+00:00,4.7
2006-05-07 00:00:00+00:00,4.6
2006-06-04 00:00:00+00:00,4.6
2006-08-06 00:00:00+00:00,4.7
2006-09-03 00:00:00+00:00,4.5
2006-11-05 00:00:00+00:00,4.5
2006-12-03 00:00:00+00:00,4.4
2007-01-07 00:00:00+00:00,4.6
2007-02-04 00:00:00+00:00,4.5
2007-03-04 00:00:00+00:00,4.4
2007-05-06 00:00:00+00:00,4.4
2007-06-03 00:00:00+00:00,4.6
2007-08-05 00:00:00+00:00,4.6
2007-10-07 00:00:00+00:00,4.7
2007-11-04 00:00:00+00:00,4.7
2008-01-06 00:00:00+00:00,5.0
2008-02-03 00:00:00+00:00,4.9
2008-04-06 00:00:00+00:00,5.0
2008-05-04 00:00:00+00:00,5.4
2008-07-06 00:00:00+00:00,5.8
2008-08-03 00:00:00+00:00,6.1
2008-09-07 00:00:00+00:00,6.1
2008-10-05 00:00:00+00:00,6.5
2008-12-07 00:00:00+00:00,7.3
2009-01-04 00:00:00+00:00,7.8
