,Velocity of Money
2003-10-05 00:00:00+00:00,9.048
2004-01-04 00:00:00+00:00,9.042
2004-04-04 00:00:00+00:00,9.065
2004-07-04 00:00:00+00:00,9.098
2004-10-03 00:00:00+00:00,9.138
2005-04-03 00:00:00+00:00,9.445
2005-07-03 00:00:00+00:00,9.557
2007-01-07 00:00:00+00:00,10.399
2007-10-07 00:00:00+00:00,10.703
2008-01-06 00:00:00+00:00,10.639
2008-04-06 00:00:00+00:00,10.645
2008-07-06 00:00:00+00:00,10.418
2008-10-05 00:00:00+00:00,9.548
2009-01-04 00:00:00+00:00,9.155
2009-04-05 00:00:00+00:00,8.827
2009-07-05 00:00:00+00:00,8.691
2009-10-04 00:00:00+00:00,8.698
2010-01-03 00:00:00+00:00,8.708
2010-04-04 00:00:00+00:00,8.742
2010-07-04 00:00:00+00:00,8.671
2010-10-03 00:00:00+00:00,8.434
2011-04-03 00:00:00+00:00,8.044
2011-07-03 00:00:00+00:00,7.533
2012-10-07 00:00:00+00:00,6.728
2013-01-06 00:00:00+00:00,6.722
2013-04-07 00:00:00+00:00,6.636
2013-07-07 00:00:00+00:00,6.607
2013-10-06 00:00:00+00:00,6.47
2014-01-05 00:00:00+00:00,6.294
2014-04-06 00:00:00+00:00,6.252
2014-07-06 00:00:00+00:00,6.256
2014-10-05 00:00:00+00:00,6.144
2015-01-04 00:00:00+00:00,6.036
2015-04-05 00:00:00+00:00,6.068
2015-07-05 00:00:00+00:00,6.026
2015-10-04 00:00:00+00:00,5.973
2016-01-03 00:00:00+00:00,5.895
2016-04-03 00:00:00+00:00,5.767
2016-07-03 00:00:00+00:00,5.695
2018-01-07 00:00:00+00:00,5.531
2018-10-07 00:00:00+00:00,5.577
2019-01-06 00:00:00+00:00,5.611
2019-04-07 00:00:00+00:00,5.598
2019-07-07 00:00:00+00:00,5.561
2019-10-06 00:00:00+00:00,5.47
2020-01-05 00:00:00+00:00,5.287
2020-04-05 00:00:00+00:00,1.567
2020-07-05 00:00:00+00:00,1.261
2020-10-04 00:00:00+00:00,1.233
2021-01-03 00:00:00+00:00,1.215
2021-04-04 00:00:00+00:00,1.201
2021-07-04 00:00:00+00:00,1.195
2021-10-03 00:00:00+00:00,1.202
2022-04-03 00:00:00+00:00,1.224
2022-07-03 00:00:00+00:00,1.258
